Y acceleration m/s^2,-X acceleration m/s^2,Z acceleration m/s^2 Z,Sample time [seg]
8.801085,1.7812861,4.5777135,2025-02-16 16:30:34.898
8.810662,1.7142484,4.5777135,2025-02-16 16:30:34.899
8.858546,1.9536686,4.7309427,2025-02-16 16:30:34.909
8.839393,2.27928,4.654328,2025-02-16 16:30:34.910
8.829816,2.3080103,4.6255975,2025-02-16 16:30:34.912
8.714894,2.1643584,4.3861775,2025-02-16 16:30:34.918
8.896853,2.0973208,4.951209,2025-02-16 16:30:34.920
8.734048,2.087744,4.654328,2025-02-16 16:30:34.923
8.619126,2.2026656,4.271256,2025-02-16 16:30:34.927
8.848969,2.327164,4.9703627,2025-02-16 16:30:34.930
8.714894,2.1068976,4.7979803,2025-02-16 16:30:34.934
8.63828,1.8770541,4.5202527,2025-02-16 16:30:34.938
8.858546,1.8387469,4.865018,2025-02-16 16:30:34.943
8.762778,1.9153614,4.146757,2025-02-16 16:30:34.947
8.734048,2.1643584,4.1371803,2025-02-16 16:30:34.951
8.963891,2.2122424,4.673482,2025-02-16 16:30:34.955
8.781932,2.0398598,4.367024,2025-02-16 16:30:34.959
8.7532015,1.8962077,4.5872903,2025-02-16 16:30:34.963
8.734048,1.9153614,4.9416323,2025-02-16 16:30:34.967
8.7053175,1.9632454,4.5394063,2025-02-16 16:30:34.971
8.724471,2.0973208,4.711789,2025-02-16 16:30:34.974
8.762778,2.2026656,4.855441,2025-02-16 16:30:34.979
8.6574335,2.0973208,4.462792,2025-02-16 16:30:34.982
8.829816,2.1260512,4.6830587,2025-02-16 16:30:34.986
8.820239,2.2026656,4.510676,2025-02-16 16:30:34.991
8.810662,2.2601264,4.280833,2025-02-16 16:30:34.994
8.916007,2.2888567,4.501099,2025-02-16 16:30:34.999
8.858546,2.2218192,4.4915223,2025-02-16 16:30:35.003
8.714894,2.0590134,4.6255975,2025-02-16 16:30:35.007
8.743625,1.9919758,4.6830587,2025-02-16 16:30:35.011
8.714894,1.8387469,4.644751,2025-02-16 16:30:35.015
8.7532015,1.8291701,4.711789,2025-02-16 16:30:35.019
8.734048,1.8674773,4.6255975,2025-02-16 16:30:35.023
8.810662,1.9153614,4.5394063,2025-02-16 16:30:35.026
8.868123,2.0207062,4.4723687,2025-02-16 16:30:35.030
8.839393,2.0685902,4.501099,2025-02-16 16:30:35.034
8.887277,2.087744,4.501099,2025-02-16 16:30:35.039
8.839393,2.078167,4.606444,2025-02-16 16:30:35.043
8.829816,1.9919758,4.6160207,2025-02-16 16:30:35.047
8.743625,1.9632454,4.654328,2025-02-16 16:30:35.050
8.7053175,1.9536686,4.721366,2025-02-16 16:30:35.055
8.6095495,1.934515,4.8362875,2025-02-16 16:30:35.059
8.628703,2.0398598,4.7979803,2025-02-16 16:30:35.063
8.686164,2.231396,4.76925,2025-02-16 16:30:35.066
8.714894,2.3463178,4.711789,2025-02-16 16:30:35.070
8.7053175,2.4037786,4.711789,2025-02-16 16:30:35.074
8.724471,2.3654714,4.7309427,2025-02-16 16:30:35.079
8.724471,2.3080103,4.807557,2025-02-16 16:30:35.082
8.647857,2.135628,4.7979803,2025-02-16 16:30:35.087
8.66701,2.030283,4.7884035,2025-02-16 16:30:35.091
8.628703,1.9536686,4.7309427,2025-02-16 16:30:35.095
8.619126,1.9057846,4.663905,2025-02-16 16:30:35.098
8.63828,1.9919758,4.6160207,2025-02-16 16:30:35.103
8.6574335,2.1739352,4.6255975,2025-02-16 16:30:35.107
8.7053175,2.3463178,4.654328,2025-02-16 16:30:35.111
