GPS (Lat.) [deg],GPS (Long.) [deg],GPS (Alt.) [m],Sample time [seg]
53.51150500000001,-8.853905,90.2,2025-02-16 16:30:35.095
53.51150500000001,-8.853905,90.2,2025-02-16 16:30:36.093
53.51150500000001,-8.853905,90.2,2025-02-16 16:30:37.096
53.51150500000001,-8.853905,90.2,2025-02-16 16:30:38.093
53.51150500000001,-8.853905,90.2,2025-02-16 16:30:39.099
53.51145666666666,-8.853901666666667,90.5,2025-02-16 16:30:40.097
53.511426666666665,-8.853895,91.1,2025-02-16 16:30:41.098
53.51139166666667,-8.853881666666666,91.5,2025-02-16 16:30:42.096
53.51135666666667,-8.853861666666667,92.2,2025-02-16 16:30:43.101
53.51131999999999,-8.853836666666666,93.2,2025-02-16 16:30:44.101
53.51128833333334,-8.853818333333333,93.4,2025-02-16 16:30:45.103
53.51125333333333,-8.853786666666668,93.7,2025-02-16 16:30:46.097
53.51121666666666,-8.853751666666666,94.2,2025-02-16 16:30:47.102
53.511181666666666,-8.853715,94.8,2025-02-16 16:30:48.094
53.511156666666665,-8.85369,94.5,2025-02-16 16:30:49.097
53.511133333333326,-8.85366,93.8,2025-02-16 16:30:50.095
53.51110666666667,-8.853633333333333,93.8,2025-02-16 16:30:51.096
53.51108166666666,-8.853616666666666,93.6,2025-02-16 16:30:52.100
53.511055000000006,-8.853598333333334,93.8,2025-02-16 16:30:53.103
53.511019999999995,-8.853575000000001,93.4,2025-02-16 16:30:54.100
53.510985,-8.853553333333334,93.4,2025-02-16 16:30:55.097
53.510953333333326,-8.853530000000001,92.7,2025-02-16 16:30:56.098
53.51091666666666,-8.853515,92.3,2025-02-16 16:30:57.095
53.51087833333333,-8.8535,91.3,2025-02-16 16:30:58.097
53.51083833333334,-8.853488333333333,90.9,2025-02-16 16:30:59.093
53.51080333333333,-8.853476666666667,90.1,2025-02-16 16:31:00.092
53.510765000000006,-8.85347,89.1,2025-02-16 16:31:01.096
53.510733333333334,-8.853463333333334,88.0,2025-02-16 16:31:02.100
53.5107,-8.85345,87.6,2025-02-16 16:31:03.101
53.51066000000001,-8.853428333333333,87.4,2025-02-16 16:31:04.094
53.510630000000006,-8.853399999999999,87.4,2025-02-16 16:31:05.096
53.51060166666666,-8.85337,87.5,2025-02-16 16:31:06.099
53.51057000000001,-8.853341666666667,88.0,2025-02-16 16:31:07.100
53.510538333333336,-8.853318333333334,87.8,2025-02-16 16:31:08.097
53.510503333333325,-8.853295000000001,87.3,2025-02-16 16:31:09.093
53.51046833333333,-8.85326,86.8,2025-02-16 16:31:10.100
53.51044,-8.853215,86.8,2025-02-16 16:31:11.091
53.510414999999995,-8.853158333333333,86.9,2025-02-16 16:31:12.091
53.51038833333334,-8.853115,87.1,2025-02-16 16:31:13.093
53.510368333333325,-8.853055000000001,86.2,2025-02-16 16:31:14.096
53.51034,-8.853003333333334,86.0,2025-02-16 16:31:15.097
53.51031166666667,-8.852938333333332,86.3,2025-02-16 16:31:16.093
53.51028833333333,-8.852884999999999,86.5,2025-02-16 16:31:17.093
53.510270000000006,-8.852839999999999,86.4,2025-02-16 16:31:18.094
53.51024833333333,-8.852794999999999,85.9,2025-02-16 16:31:19.091
53.51022833333333,-8.852755,85.7,2025-02-16 16:31:20.095
53.510205,-8.852701666666666,85.6,2025-02-16 16:31:21.095
53.51018166666666,-8.852641666666667,86.3,2025-02-16 16:31:22.096
53.51015,-8.852583333333333,86.5,2025-02-16 16:31:23.097
53.51011833333334,-8.852521666666666,86.9,2025-02-16 16:31:24.097
53.510090000000005,-8.852456666666665,86.7,2025-02-16 16:31:25.094
53.51006,-8.852395,86.7,2025-02-16 16:31:26.092
53.51002833333334,-8.852333333333332,86.9,2025-02-16 16:31:27.100
53.509998333333336,-8.852273333333333,87.0,2025-02-16 16:31:28.089
53.50997,-8.852218333333333,87.8,2025-02-16 16:31:29.094
53.50994333333333,-8.85215,88.2,2025-02-16 16:31:30.097
53.50991666666667,-8.852086666666667,87.4,2025-02-16 16:31:31.095
53.509886666666674,-8.852023333333333,87.2,2025-02-16 16:31:32.092
53.50985833333334,-8.85196,86.8,2025-02-16 16:31:33.091
53.50982333333333,-8.851896666666667,87.2,2025-02-16 16:31:34.092
53.50979166666666,-8.851836666666665,87.0,2025-02-16 16:31:35.091
53.50976166666666,-8.85178,87.3,2025-02-16 16:31:36.097
53.509739999999994,-8.851736666666666,87.4,2025-02-16 16:31:37.095
53.509726666666666,-8.851711666666667,87.7,2025-02-16 16:31:38.094
53.50972333333334,-8.851706666666667,87.8,2025-02-16 16:31:39.091
