Magnetic Field X [µT],Magnetic Field Y [µT],Magnetic Field Z [µT],Sample time [seg]
-88.908005,-106.52601,-179.74101,2025-02-16 16:30:34.910
-89.201004,-105.50101,-181.19402,2025-02-16 16:30:34.911
-89.283005,-106.240005,-179.09601,2025-02-16 16:30:34.921
-88.714005,-106.50101,-178.815,2025-02-16 16:30:34.928
-88.088005,-105.174,-180.45601,2025-02-16 16:30:34.935
-88.72401,-105.663,-180.69601,2025-02-16 16:30:34.944
-89.104004,-106.66501,-181.80402,2025-02-16 16:30:34.952
-88.01501,-106.548004,-180.255,2025-02-16 16:30:34.960
-88.108,-106.33201,-178.32901,2025-02-16 16:30:34.968
-89.315,-105.615005,-180.623,2025-02-16 16:30:34.976
-89.91801,-105.786,-181.45201,2025-02-16 16:30:34.983
-89.614006,-106.82001,-181.59901,2025-02-16 16:30:34.992
-88.40301,-106.482,-180.626,2025-02-16 16:30:35.000
-87.595,-105.119,-179.51302,2025-02-16 16:30:35.008
-88.4,-105.309006,-180.12502,2025-02-16 16:30:35.016
-89.296005,-106.46001,-179.99901,2025-02-16 16:30:35.024
-89.9,-106.51501,-179.348,2025-02-16 16:30:35.031
-89.964005,-106.20901,-180.40001,2025-02-16 16:30:35.040
-89.672005,-105.229004,-181.24101,2025-02-16 16:30:35.048
-89.048004,-104.844,-180.53801,2025-02-16 16:30:35.056
-89.15501,-106.023,-180.35901,2025-02-16 16:30:35.063
-89.788,-106.4,-179.69101,2025-02-16 16:30:35.071
-90.339005,-106.038,-181.12001,2025-02-16 16:30:35.079
-90.369,-106.475006,-182.468,2025-02-16 16:30:35.088
-90.302,-106.783005,-181.873,2025-02-16 16:30:35.095
-90.798004,-105.66,-181.51501,2025-02-16 16:30:35.103
-90.048004,-106.117004,-181.32501,2025-02-16 16:30:35.112
-89.386,-107.538,-181.08301,2025-02-16 16:30:35.119
-89.576004,-106.275,-180.02802,2025-02-16 16:30:35.127
-89.818,-105.661,-180.08,2025-02-16 16:30:35.136
-89.47401,-106.268005,-180.479,2025-02-16 16:30:35.144
-89.53001,-105.73701,-179.714,2025-02-16 16:30:35.151
-90.51401,-105.733,-180.578,2025-02-16 16:30:35.160
-90.94601,-106.091,-180.01201,2025-02-16 16:30:35.167
-90.189,-106.438,-179.48502,2025-02-16 16:30:35.175
-89.520004,-106.80601,-180.79301,2025-02-16 16:30:35.184
-89.40401,-106.69401,-181.70702,2025-02-16 16:30:35.192
-89.857,-107.26501,-180.901,2025-02-16 16:30:35.200
-89.781006,-107.466,-180.31201,2025-02-16 16:30:35.208
-89.662,-106.297005,-182.205,2025-02-16 16:30:35.218
-89.426,-105.84601,-181.76001,2025-02-16 16:30:35.227
-88.91701,-105.574005,-180.371,2025-02-16 16:30:35.236
-89.248,-106.038,-181.393,2025-02-16 16:30:35.241
-89.035,-106.975006,-181.552,2025-02-16 16:30:35.250
-89.588005,-107.55601,-180.63802,2025-02-16 16:30:35.256
-88.943,-108.018005,-179.768,2025-02-16 16:30:35.263
-88.89101,-107.48501,-180.36801,2025-02-16 16:30:35.271
-88.95801,-107.177,-180.96301,2025-02-16 16:30:35.280
-88.605,-106.49901,-180.18102,2025-02-16 16:30:35.287
-89.648,-106.078,-181.417,2025-02-16 16:30:35.296
-89.481,-106.492004,-182.296,2025-02-16 16:30:35.304
-89.614006,-106.82001,-181.59901,2025-02-16 16:30:35.312
-89.97401,-107.491005,-181.238,2025-02-16 16:30:35.320
-89.589005,-106.495,-181.04501,2025-02-16 16:30:35.327
-88.259,-104.871,-180.371,2025-02-16 16:30:35.336
-88.858,-105.991005,-179.99901,2025-02-16 16:30:35.344
-89.590004,-107.55401,-180.40901,2025-02-16 16:30:35.352
-88.34801,-108.07101,-180.52701,2025-02-16 16:30:35.359
-88.55701,-108.198006,-180.647,2025-02-16 16:30:35.367
